Code, Job Name
ACCT, ACCOUNTING
ADJUST, LABOR ADJUSTMENT
ALTCARE, ALTERNATIVE HEALTH CARE
ALTCOOK, KITCHEN--COOK NON-ZK
ANNIV, ANNIVERSARY FREE
ANYACARE, ANYA CARE
ANYAED, ANYA ED
ARCH, ARCHIVES
AUTO, AUTO MAINTENANCE
BDAY, BIRTHDAY FREE
BEES, BEES
BIK, BICYCLES
BMNT, BUILDING MAINT
BONUS, BONUS
BOX, TOFU BOX
BREAD, BREAD
BSERF, BIJOU SERF
BTU, BTU (WOODHEAT)
BUDGETING, 
CARE, HEALTH CARE
CB, CHILD BOARD
CBUS, CVILLE TRIP
CC, COMMUNITY CLOTHES
CCONF, COMMUNITIES CONFERENCE
CHENV, CHILD ENVIRONMENT
CMT, CMNTY MEMBERSHIP TEAM
COLIN ED, 
COLINCARE, COLIN CARE
CONFSITE, CONF SITE META
CONT, PLANNER CONTINGENCY
COOK, KITCHEN--COOK
CORDELIACARE, CORDELIA CARE
CP, COMMUNITY PLANNERS
CPOST, COMPOST
CRPL, CARPOOL
CVP, CMTY VISITOR PROGRAM
DAIRY, DAIRY
DELIV, TOFU DELIVERY
demold, 
DESK, DESK
DISH MOVE, DISH MOVE
DIVER, DIVERSITY
DOC, HEALTH DOCTOR
DUMP, DUMP RUN
ECON, ECONOMIC PLANNING
ECRUN, EC RUN
ECW, EC WOOD
ECWOH, EC WOOD OH
ELDER, ELDER TEAM
ELEC, ELECTRICAL
eLOA, EMOTIONAL LEAVES OF ABSENCE
EQMNT, EQUIPMENT MAINT
EXPIRED SHEET, 
FAIR, FAIRS
FARM, FARM
FBANK, FOOD BANK
FEC, FEDERATION
FENC, FENCES
FINCARE, FINLEY CARE
FINLEYED, FINLEY EDU
FOOD, FOOD
FOR, FORESTRY
FP, FOOD PROCESSING
FS, FOREST SCHOOL
GARD, GARDEN
GRAN, GRANOLA
GROM, GROMMET
GROMOH, GROMMET OH
GRPCARE, GROUP CARE
HAR, HAMMOCKS A/R
HCR, HAMMOCK CHAIR ROPE
HCROH, HAMMOCK CHAIR ROPE OH
HGARD, HERB GARDEN
HMAINT, HEALTH MAINTENANCE
HOLFREE, HOLIDAY FREE
HOLPREP, HOLIDAY PREP
HSE, HOUSE
HSUPP, HEALTH SUPPLEMENT
HTM, HEALTH TEAM
HX, HAMMOCKS
HXOH, HAMMOCKS OVERHEAD
HXREPAIR, HX REPAIR
IND, INDEXING
IT, INFORMATION TECHNOLOGY
JPJ, OUTSIDE WORK JPJ
JPJOH, OUTSIDE WORK JPJ OVERHEAD
KIDSCOMMIE, 
KSHIFT, KITCHEN--CLEAN
LAB, LABOR
LABASS, LABOR ASSIGNING
LAND, LAND PLANNING
LAWORKSHOPS, LIBERATION ARTS WORKSHOPS
LBUS, LOUISA BUS
LEAV, LEAVES OF TWIN OAKS
LEG, LEGAL
LEX, LABOR EXCHANGE
LIB, LIBRARY
LINUS, LINUS CARE
LOA, LEAVES OF ABSENCE
LOCREL, LOCAL RELATIONS
LSERF, LLANO SERF
MAIL, MAIL SORT
MARKET, MARKETING
MARSCARE, MARSDEN CARE
MEAT, MEAT PROCESSING
MEDICAID, MEDICAID AND HEALTH BILLING
MEND, MENDING
MHCARE, MENTAL HEALTH CARE
MHCRPL, MENTAL HEALTH CARPOOL
MHDOC, MENTAL HEALTH DOC
MHSELF, MENTAL HEALTH SELF CARE
MHT, MENTAL HEALTH TEAM
MILK, MILKING
MMOV, MILK MOVE
MOVSUP, MOVEMENT SUPPORT
MP, MILK PROCESSING
MS, MACHINE SHOP
MUSH, MUSHROOM
MUSIC ROOM, 
NEW MEMBER ROCKS, 
NML, NEW MEMBER LIASION
OFF, OFFICE
OFFSYS, OFF THE SYSTEM
ORCH, ORCHARD
ORNA, ORNAMENTALS
OW, OUTSIDE WORK
OW ETSY, OUTSIDE WORK ETSY SITE
OW164, OUTSIDE WORK 164
OWACORN, OW ACORN
OWAIKIDO, OUTSIDE WORK AIKIDO (SABINE)
OWCWSG, OUTSIDE WORK CWSG
OWFARR, OUTSIDE WORK FARRINGTON
OWGARLIC, OW GARLIC SHIP
OWLEF, OUTSIDE WORK LEF
OWMILL, OW MILL (KEENAN)
OWNEW, NEWPOINT (SCOTT)
OWNPS, OUTSIDE WORK NPS
OWOBRIGADO, OUTSIDE WORK OBRIGADO (SCOTT)
OWOH, OUTSIDE WORK OH
OWROBOT, SEEDRACKS ROBOT AT ACORN
OWSESE, OW SESE
OWTOAST, OW RECRUTOURS
OWYOGA, OW YOGA
OZ, OZ (CHAIR VARNISH)
OZOH, OZ (CHAIR VARNISH) OH
PAMBOOK, PAM'S BOOK
PDU, PDU
PEN, PENSION
PETS, PETS
PIL, PILLOWS
PILOH, PILLOWS OVERHEAD
PLUMB, PLUMBING
POND, POND MAINT
POUL, POULTRY
PRODOH, PRODUCTS OVERHEAD
PTM, PROCESS TEAM
PUR, HX PURCHASING
PVCC, PVCC CLASSES
Qpro, proactive quarantine
QUARANTINE (covid positive), 
QUEER GATHERING, 
QUOTA, QUOTA
RACKS, SEEDRACKS
RACKSACCTING, SEEDRACKS ACCOUNTING
RACKSADMIN, SEEDRACKS ADMIN
RACKSECW, SEEDRACKS ECW
RACKSEXP, SEEDRACKS EXPANSION
RACKSMKTG, SEEDRACKS MARKETING
RACKSORDER, SEEDRACKS ORDERING
RACKSPACK, SEEDRACKS PACKING
RACKSSALES, SEEDRACKS SALES
RACKSSHIP, SEEDRACKS SHIPPING
RANCH, RANCH
RBUS, RMOND TRIP
REAL, REAL TEAM
REC, RECREATION
RECRU, RECRUITMENT
RETAIL, RETAIL
RIDGE, RIDGELEY CARE
RIDGED, RIDGELEY EDUCATION
ROAD, ROAD MAINTENANCE
ROBOT PRINTING, 
ROOM, ROOM ASSIGNING
ROPE, ROPE
ROPEOH, ROPE OVERHEAD
RPM, ROPE PRODUCTS MANAGEMENT
SABB, SABBATICAL
SAFE, SAFETY
SAMCARE, SAMIR CARE
SAMIED, SAMIR ED
SANDYCARE, SANDOR CARE
SAW, SAWMILL
SAWOH, SAWMILL OVERHEAD
SCAPE, LANDSCAPING
SEEDS, GROWING
SEEDSOH, SEEDS OVERHEAD
SHIP, HAMMOCKS SHIPPING
SICK, SICK
SOYOH, SOYSAGE OVERHEAD
SOYSAGE, SOYSAGE
STEREO, STEREO REPAIR
STORM, STORM CLEANUP
STP, STP
STR, STRETCHERS
STROH, STRETCHERS OH
SYLVIACARE, SYLVIA CARE
SYLVIAED, SYLVIA ED
TALLUCARE, TALLULAH CARE
TAX, TAXES
TEACH, TEACHING CREDITS
TEMP, TEMPEH
TF, TOFU PRODUCTION
TMARK, TOFU MARKETING
TMOVE, TOFU MOVE
TOFUBOD, BODY CARE FOR TOFU WORKERS
TOFUOH, TOFU OVERHEAD
TOUR, SATURDAY TOUR
TRANS, TRANSITION
TRUS, TRUSTERTY
TSERF, TUPE SERF
TWELL, TOFU WELL
UNI, UNICORNS
UPTOFU, TOFU UPGRADES
VID, VIDEO
VIZCOR, VIZ CORRESPONDENCE
VUSE, VEHICLE USE
WELD, WELDING
WHSE, WAREHOUSE
WILLEMINACARE, WILLEMINACARE
WOMGATH, WOMEN'S GATHERING
WOODDEL, WOOD DELIVERY
WSHOP, WOODSHOP
WWATER, TOFU WASTEWATER
XENACARE, XENA CARE
ZADEKCARE, ZADEK CARE
ZADEKED, ZADEK EDU
ZK CLEAN, ZK CLEAN
